AUCTION SELECTION,LOCATION SELECTION,EXIT PORT SELECTION,SEDAN/SUV,BIG SUV,PICKUP,VAN,SPRINTER,MOTO,
Copart,AK-ANCHORAGE,CA,4800,5200,5550,5250,9700,4150,
Copart,AL-BIRMINGHAM,GA ,1675,1975,2125,2025,2850,1475,
Copart,AL-DOTHAN,GA ,1640,1940,2090,1990,2780,1440,
Copart,AL-MOBILE,GA ,1675,1975,2125,2025,2850,1475,
Copart,AL-MONTGOMERY,GA ,1675,1975,2125,2025,2850,1475,
Copart,AL-TANNER,GA ,1675,1975,2125,2025,2850,1475,
Copart,AR-FAYETTEVILLE,TX ,1900,2250,2650,2300,3500,1550,
Copart,AR-LITTLE ROCK,TX ,1800,2150,2550,2200,3300,1450,
Copart,AZ-PHOENIX,CA,2310,2710,3060,2760,4720,1660,
Copart,AZ-TUCSON,CA,2390,2790,3140,2840,4880,1740,
Copart,CA-ADELANTO,CA,2050,2450,2800,2500,4200,1400,
Copart,CA-ANTELOPE,CA,2360,2760,3110,2810,4820,1710,
Copart,CA-BAKERSFIELD,CA,2120,2520,2870,2570,4340,1470,
Copart,CA-CRASHEDTOYS SACRAMENTO,CA,2280,2680,3030,2730,4660,1630,
Copart,CA-FRESNO,CA,2200,2600,2950,2650,4500,1550,
Copart,CA-HAYWARD,CA,2360,2760,3110,2810,4820,1710,
Copart,CA-HAYWARD - DESERT VIEW,CA,2360,2760,3110,2810,4820,1710,
Copart,CA-LONG BEACH,CA,2120,2520,2870,2570,4340,1470,
Copart,CA-LOS ANGELES,CA,2120,2520,2870,2570,4340,1470,
Copart,CA-MARTINEZ,CA,2320,2720,3070,2770,4740,1670,
Copart,CA-RANCHO-DESERT VIEW,CA,1990,2390,2740,2440,4080,1340,
Copart,CA-RANCHO CUCAMONGA,CA,2080,2480,2830,2530,4260,1430,
Copart,CA-REDDING,CA,2520,2920,3270,2970,5140,1870,
Copart,CA-SACRAMENTO,CA,2280,2680,3030,2730,4660,1630,
Copart,CA-SACRAMENTO-DESERT VIEW,CA,2280,2680,3030,2730,4660,1630,
Copart,CA-SAN BERNARDINO,CA,2055,2455,2805,2505,4210,1405,
Copart,CA-SAN DIEGO,CA,2080,2480,2830,2530,4260,1430,
Copart,CA-SAN DIEGO-DESERT VIEW,CA,2080,2480,2830,2530,4260,1430,
Copart,CA-SAN JOSE,CA,2400,2800,3150,2850,4900,1750,
Copart,CA-SANTA PAULA-DESERT VIEW,CA,2055,2455,2805,2505,4210,1405,
Copart,CA-SO SACRAMENTO,CA,2280,2680,3030,2730,4660,1630,
Copart,CA-SUN VALLEY,CA,2040,2440,2790,2490,4180,1390,
Copart,CA-VALLEJO,CA,2325,2725,3075,2775,4750,1675,
Copart,CA-VAN NUYS,CA,2080,2480,2830,2530,4260,1430,
Copart,CO-COLORADO SPRINGS,TX ,2220,2570,2970,2620,4140,1870,
Copart,CO-DENVER,TX ,2125,2475,2875,2525,3950,1775,
Copart,CO-DENVER CENTRAL,TX ,2125,2475,2875,2525,3950,1775,
Copart,CO-DENVER SOUTH,TX ,2175,2525,2925,2575,4050,1825,
Copart,CT-HARTFORD,NJ ,1620,1970,2270,2020,2840,1370,
Copart,CT-HARTFORD SPRINGFIELD,NJ ,1620,1970,2270,2020,2840,1370,
Copart,DE-SEAFORD,NJ ,1600,1950,2250,2000,2800,1350,
Copart,FL-DOVER,GA ,1500,1800,1950,1850,2500,1300,
Copart,FL-FT. PIERCE,GA ,1650,1950,2100,2000,2800,1450,
Copart,FL-JACKSONVILLE EAST,GA ,1430,1730,1880,1780,2360,1230,
Copart,FL-JACKSONVILLE WEST,GA ,1430,1730,1880,1780,2360,1230,
Copart,FL-MIAMI CENTRAL,GA ,1570,1870,2020,1920,2640,1370,
Copart,FL-MIAMI NORTH,GA ,1570,1870,2020,1920,2640,1370,
Copart,FL-MIAMI SOUTH,GA ,1570,1870,2020,1920,2640,1370,
Copart,FL-OCALA,GA ,1605,1905,2055,1955,2710,1405,
Copart,FL-ORLANDO,GA ,1465,1765,1915,1815,2430,1265,
Copart,FL-ORLANDO NORTH,GA ,1500,1800,1950,1850,2500,1300,
Copart,FL-ORLANDO SOUTH,GA ,1535,1835,1985,1885,2570,1335,
Copart,FL-PUNTA GORDA,GA ,1500,1800,1950,1850,2500,1300,
Copart,FL-TALLAHASSEE,GA ,1605,1905,2055,1955,2710,1405,
Copart,FL-TAMPA SOUTH,GA ,1465,1765,1915,1815,2430,1265,
Copart,FL-WEST PALM BEACH,GA ,1570,1870,2020,1920,2640,1370,
Copart,GA-ATLANTA EAST,GA ,1570,1870,2020,1920,2640,1370,
Copart,GA-ATLANTA NORTH,GA ,1650,1950,2100,2000,2800,1450,
Copart,GA-ATLANTA SOUTH,GA ,1535,1835,1985,1885,2570,1335,
Copart,GA-ATLANTA WEST,GA ,1605,1905,2055,1955,2710,1405,
Copart,GA-CARTERSVILLE,GA ,1675,1975,2125,2025,2850,1475,
Copart,GA-CRASHEDTOYS ATLANTA,GA ,1360,1660,1810,1710,2220,1160,
Copart,GA-FAIRBURN,GA ,1500,1800,1950,1850,2500,1300,
Copart,GA-MACON,GA ,1605,1905,2055,1955,2710,1405,
Copart,GA-SAVANNAH,GA ,1290,1590,1740,1640,2080,1090,
Copart,GA-TIFTON,GA ,1430,1730,1880,1780,2360,1230,
Copart,IA-CRASHEDTOYS ELDRIDGE,NJ ,2050,2400,2700,2450,3700,1800,
Copart,IA-DAVENPORT,NJ ,1850,2200,2500,2250,3300,1600,
Copart,IA-DES MOINES,NJ ,2050,2400,2700,2450,3700,1800,
Copart,ID-BOISE,CA,2350,2750,3100,2800,4800,1700,
Copart,IL-CHICAGO NORTH,NJ ,1900,2250,2550,2300,3400,1650,
Copart,IL-CHICAGO SOUTH,NJ ,1900,2250,2550,2300,3400,1650,
Copart,IL-PEORIA,NJ ,1870,2220,2520,2270,3340,1620,
Copart,IL-SOUTHERN ILLINOIS,NJ ,1935,2285,2585,2335,3470,1685,
Copart,IL-WHEELING,NJ ,1815,2165,2465,2215,3230,1565,
Copart,IN-CICERO,NJ ,1935,2285,2585,2335,3470,1685,
Copart,IN-DYER,NJ ,1935,2285,2585,2335,3470,1685,
Copart,IN-FORT WAYNE,NJ ,1935,2285,2585,2335,3470,1685,
Copart,IN-INDIANAPOLIS,NJ ,1900,2250,2550,2300,3400,1650,
Copart,KS-KANSAS CITY,TX ,2060,2410,2810,2460,3820,1710,
Copart,KS-WICHITA,TX ,1860,2210,2610,2260,3420,1510,
Copart,KY-EARLINGTON,GA ,1975,2275,2425,2325,3450,1775,
Copart,KY-LEXINGTON EAST,GA ,1885,2185,2335,2235,3270,1685,
Copart,KY-LEXINGTON WEST,GA ,1885,2185,2335,2235,3270,1685,
Copart,KY-LOUISVILLE,GA ,1925,2225,2375,2275,3350,1725,
Copart,KY-WALTON,GA ,1920,2220,2370,2270,3340,1720,
Copart,LA-BATON ROUGE,TX ,1825,2175,2575,2225,3350,1475,
Copart,LA-NEW ORLEANS ,TX ,1700,2050,2450,2100,3100,1350,
Copart,LA-SHREVEPORT,TX ,1725,2075,2475,2125,3150,1375,
Copart,MA-FREETOWN,NJ ,1700,2050,2350,2100,3000,1450,
Copart,MA-NORTH BOSTON,NJ ,1655,2005,2305,2055,2910,1405,
Copart,MA-SOUTH BOSTON,NJ ,1655,2005,2305,2055,2910,1405,
Copart,MA-WEST WARREN,NJ ,1795,2145,2445,2195,3190,1545,
Copart,MD-BALTIMORE,NJ ,1620,1970,2270,2020,2840,1370,
Copart,ME-GRAY SUB LOT,NJ ,1580,1930,2230,1980,2760,1330,
Copart,ME-LYMAN,NJ ,1870,2220,2520,2270,3340,1620,
Copart,ME-ORONO,NJ ,2005,2355,2655,2405,3610,1755,
Copart,MI-DETROIT,NJ ,2075,2425,2725,2475,3750,1825,
Copart,MI-FLINT,NJ ,1935,2285,2585,2335,3470,1685,
Copart,MI-IONIA,NJ ,1900,2250,2550,2300,3400,1650,
Copart,MI-KINCHELOE,NJ ,2215,2565,2865,2615,4030,1965,
Copart,MI-LANSING,NJ ,1885,2235,2535,2285,3370,1635,
Copart,MN-BIG LAKE SUB LOT,NJ ,1935,2285,2585,2335,3470,1685,
Copart,MN-CRASHEDTOYS EAST BETHEL,NJ ,1885,2235,2535,2285,3370,1635,
Copart,MN-MINNEAPOLIS ,NJ ,2010,2360,2660,2410,3620,1760,
Copart,MN-MINNEAPOLIS NORTH,NJ ,2010,2360,2660,2410,3620,1760,
Copart,MN-ST. CLOUD,NJ ,2000,2350,2650,2400,3600,1750,
Copart,MO-COLUMBIA,NJ ,1950,2300,2600,2350,3500,1700,
Copart,MO-SIKESTON,TX,2000,2350,2750,2400,3700,1650,
Copart,MO-SPRINGFIELD,TX,2000,2350,2750,2400,3700,1650,
Copart,MO-ST.LOUIS,NJ ,1970,2320,2620,2370,3540,1720,
Copart,MS-JACKSON,GA ,1710,2010,2160,2060,2920,1510,
Copart,MT-BILLINGS,NJ ,2525,2875,3175,2925,4650,2275,
Copart,MT-BILLINGS,CA,2775,3175,3525,3225,5650,2125,
Copart,MT-HELENA,NJ ,2550,2900,3200,2950,4700,2300,
Copart,MT-HELENA,CA,2750,3150,3500,3200,5600,2100,
Copart,NC-CHINA GROVE,GA ,1675,1975,2125,2025,2850,1475,
Copart,NC-CONCORD,GA ,1640,1940,2090,1990,2780,1440,
Copart,NC-LUMBERTON,GA ,1465,1765,1915,1815,2430,1265,
